Year,Month,mean_temp,ice_extent
1985,8,19.4,7.401866666666666
1985,9,17.0,6.697666666666666
1985,10,9.4,8.5459375
1985,11,3.4,11.024533333333332
1985,12,-4.6,13.049933333333334
1986,1,-5.6,14.889624999999999
1986,2,-6.1,15.784857142857147
1986,3,0.6,15.909466666666667
1986,4,7.6,15.058800000000002
1986,5,14.3,13.379562500000002
1986,6,16.4,11.975933333333334
1986,7,21.0,10.146466666666667
1986,8,18.4,7.9795625
1986,9,14.7,7.410666666666667
1986,10,8.7,9.483933333333333
1986,11,1.6,11.453266666666668
1986,12,-1.2,13.222437499999998
1987,1,-4.6,14.9698
1987,2,-5.8,16.050142857142863
1987,3,1.8,15.815937499999999
1987,4,8.8,15.210866666666666
1987,5,14.7,13.742933333333335
1987,6,19.6,12.485666666666667
1987,7,22.5,10.332562500000002
1987,8,19.6,7.499904761904761
1987,9,15.5,7.278699999999999
1987,10,7.0,9.048774193548386
1987,11,3.4,11.224033333333335
1987,12,-0.3,12.540500000000002
1988,1,-4.5,15.090473684210526
1988,2,-6.8,15.583379310344828
1988,3,-0.8,15.95722580645161
1988,4,5.9,15.123333333333335
1988,5,13.9,13.560870967741932
1988,6,17.7,11.943433333333331
1988,7,22.9,9.80867741935484
1988,8,21.4,7.891580645161291
1988,9,15.5,7.369
1988,10,7.2,9.135032258064518
1988,11,4.5,11.330833333333333
1988,12,-2.8,13.625548387096776
1989,1,-2.2,14.954806451612903
1989,2,-6.5,15.495535714285712
1989,3,-2.1,15.423290322580646
1989,4,5.1,14.328399999999998
1989,5,13.0,13.044129032258065
1989,6,18.4,12.244533333333333
1989,7,21.5,10.129709677419354
1989,8,19.7,7.881774193548386
1989,9,15.7,7.0083333333333355
1989,10,9.8,8.828903225806453
1989,11,1.9,11.115233333333334
1989,12,-10.1,13.386806451612902
1990,1,-0.8,14.78261290322581
1990,2,-3.5,15.578214285714282
1990,3,0.7,15.866741935483867
1990,4,8.3,14.650066666666664
1990,5,11.6,13.225838709677417
1990,6,18.7,11.640566666666663
1990,7,20.9,9.246612903225806
1990,8,20.3,6.797483870967743
1990,9,15.3,6.142799999999999
1990,10,9.5,8.484935483870967
1990,11,4.6,11.075199999999999
1990,12,-1.0,13.105548387096777
1991,1,-5.7,14.363806451612902
1991,2,-2.4,15.24939285714286
1991,3,1.6,15.416129032258064
1991,4,8.7,14.859733333333335
1991,5,16.3,13.473129032258065
1991,6,20.0,12.108033333333337
1991,7,21.7,9.514032258064514
1991,8,21.1,7.415354838709678
1991,9,14.9,6.472899999999999
1991,10,10.4,8.541419354838709
1991,11,2.4,10.884600000000002
1991,12,-2.4,12.945096774193546
1992,1,-4.2,14.642677419354841
1992,2,-3.9,15.46210344827586
1992,3,-1.1,15.481129032258066
1992,4,5.6,14.6769
1992,5,12.3,13.215548387096776
1992,6,16.4,12.14676666666667
1992,7,18.0,10.323129032258066
1992,8,17.9,7.92525806451613
1992,9,14.7,7.4737
1992,10,7.4,9.319516129032259
1992,11,2.8,11.378666666666668
1992,12,-1.6,13.407387096774196
1993,1,-4.0,14.896064516129034
1993,2,-8.4,15.685642857142856
1993,3,-2.0,15.813161290322583
1993,4,6.6,15.0772
1993,5,12.1,13.36822580645161
1993,6,17.1,11.8709
1993,7,21.7,9.476354838709675
1993,8,21.1,7.335000000000001
1993,9,13.6,6.396666666666666
1993,10,7.9,8.786129032258065
1993,11,3.1,11.318733333333334
1993,12,-2.7,13.318967741935484
1994,1,-12.4,14.729774193548383
1994,2,-8.3,15.561892857142857
1994,3,-0.8,15.553612903225812
1994,4,7.3,14.888033333333333
1994,5,11.8,13.624387096774194
1994,6,19.1,12.0164
1994,7,21.5,9.925161290322581
1994,8,18.7,7.639290322580646
1994,9,15.9,7.1376
1994,10,10.0,8.915290322580644
1994,11,5.4,11.1232
1994,12,-0.1,13.271870967741936
1995,1,-3.1,14.586387096774196
1995,2,-7.3,15.22567857142857
1995,3,1.9,15.260161290322579
1995,4,4.1,14.4486
1995,5,13.3,12.972064516129029
1995,6,19.9,11.440433333333333
1995,7,21.9,8.98709677419355
1995,8,21.8,6.7443548387096754
1995,9,14.0,6.080133333333333
1995,10,11.0,7.828935483870969
1995,11,1.0,10.760866666666667
1995,12,-5.1,12.92083870967742
1996,1,-6.7,14.180870967741933
1996,2,-5.8,15.154827586206897
1996,3,-2.8,15.122806451612904
1996,4,4.4,14.215866666666667
1996,5,11.6,13.094548387096772
1996,6,18.6,12.083833333333335
1996,7,19.6,10.164258064516126
1996,8,20.7,8.180451612903227
1996,9,16.5,7.582533333333334
1996,10,9.2,9.160967741935485
1996,11,0.9,10.4017
1996,12,-0.4,12.861258064516127
1997,1,-6.4,14.41748387096774
1997,2,-3.2,15.436714285714286
1997,3,-1.4,15.467516129032258
1997,4,5.8,14.56303333333333
1997,5,9.6,13.177161290322582
1997,6,19.8,11.738366666666666
1997,7,20.9,9.410838709677419
1997,8,19.0,7.285032258064518
1997,9,15.5,6.686333333333333
1997,10,9.5,8.336548387096776
1997,11,2.5,10.68416666666667
1997,12,-0.9,13.076193548387094
1998,1,-2.2,14.720516129032259
1998,2,-0.3,15.74582142857143
1998,3,2.1,15.598096774193545
1998,4,8.6,14.891933333333334
1998,5,17.0,13.589838709677418
1998,6,18.9,11.705700000000002
1998,7,21.2,9.415161290322581
1998,8,21.7,7.5088709677419345
1998,9,18.2,6.536033333333335
1998,10,10.8,8.451870967741934
1998,11,4.9,10.440599999999996
1998,12,0.7,12.758645161290321
1999,1,-6.2,14.359387096774194
1999,2,-1.6,15.308928571428575
1999,3,0.2,15.397677419354839
1999,4,8.1,15.083899999999998
